Embedding	Accuracy	Class 1 Acc	Class 2 Acc	Class 3 Acc	Class 4 Acc	Class 6 Acc
12CEFG	0.7677100494233937	1804/2676	1761/2317	4772/5825	46/98	5/10
12CEG	0.7431814021599854	1748/2676	1724/2317	4603/5825	41/98	4/10
12CF	0.7301848801025078	1746/2676	1746/2317	4437/5825	45/98	4/10
12CFG	0.7412593812923303	1757/2676	1739/2317	4551/5825	47/98	5/10
12CG	0.6907376899139667	1673/2676	1642/2317	4184/5825	46/98	2/10
12D	0.8183232656049789	1914/2676	1875/2317	5101/5825	48/98	3/10
12DE	0.8124656781987919	1901/2676	1868/2317	5059/5825	43/98	6/10
12DEF	0.8170419183598755	1926/2676	1865/2317	5085/5825	45/98	6/10
12DEFG	0.8163097199341022	1900/2676	1868/2317	5098/5825	48/98	5/10
12DEG	0.8110012813472451	1892/2676	1860/2317	5064/5825	40/98	5/10
12DF	0.8237232289950577	1934/2676	1894/2317	5118/5825	50/98	4/10
12DFG	0.8208859600951858	1920/2676	1876/2317	5123/5825	46/98	4/10
12DG	0.8159436207212154	1903/2676	1855/2317	5109/5825	44/98	4/10
12E	0.7573677466593447	1761/2676	1757/2317	4713/5825	41/98	3/10
12EF	0.7773201537616694	1818/2676	1803/2317	4821/5825	46/98	5/10
12EFG	0.780523521874428	1826/2676	1779/2317	4872/5825	46/98	5/10
12EG	0.7632253340655317	1795/2676	1742/2317	4758/5825	40/98	4/10
12F	0.7558118250045762	1806/2676	1795/2317	4610/5825	43/98	4/10
12FG	0.7616694124107634	1798/2676	1756/2317	4717/5825	47/98	4/10
12G	0.7208493501738972	1724/2676	1682/2317	4424/5825	44/98	2/10
1B	0.709683324180853	1610/2676	1640/2317	4460/5825	42/98	2/10
1BC	0.5180303862346696	1252/2676	1272/2317	3093/5825	40/98	3/10
1BCD	0.790042101409482	1786/2676	1827/2317	4969/5825	46/98	4/10
1BCDE	0.78665568369028	1788/2676	1821/2317	4937/5825	43/98	6/10
1BCDEF	0.7965403624382208	1843/2676	1826/2317	4982/5825	46/98	6/10
